SpT,Teff,logT,BCv,logL,Mbol,Rsun,Mv,BV,BtVt,GV,BpRp,GRp,M_G,by,UB,VRc,VI,VK,JH,HK,M_J,M_K,KW1,W1W2,W1W3,W1W4,gr,iz,zY,Msun
T4.5V,1170,3.068,-9.0175,-4.9,16.99,0.099,30.70000000000002,2.4724999999999935,2.628000000000001,-8.262500000000003,8.00666666666667,1.3245454545454551,21.59090909090909,1.429076923076924,1.3,26.89666666666666,8.67625,13.124999999999998,0.2,-0.06,14.69,14.55,0.4050000000000002,1.57,-0.008562500000000053,0.223375,2.700000000000001,3.93,1.75,0.06609999999999999
T5V,1160,3.064,-9.03875,-4.95,17.12,0.101,30.82000000000002,2.4749999999999934,2.631750000000001,-8.306250000000002,8.033333333333337,1.3027272727272734,21.654545454545453,1.43123076923077,1.3,27.10333333333333,8.720625,13.162499999999998,0.2,-0.08,14.88,14.9,0.3800000000000002,1.7,-0.008500000000000053,0.224,2.705000000000001,3.95,1.81,0.06599999999999999
T5.5V,1040,3.017,-9.29375,-5.04,17.34,0.099,32.260000000000026,2.504999999999993,2.676750000000001,-8.83125,8.353333333333337,1.040909090909092,22.418181818181814,1.457076923076924,1.3,29.58333333333333,9.253125,13.612499999999997,0.2,-0.1,15.13,15.1,0.08000000000000063,1.86,-0.0077500000000000555,0.23149999999999998,2.7650000000000015,3.97,1.89,0.06479999999999998
T6V,950,2.978,-9.485,-5.12,17.54,0.1,33.340000000000025,2.5274999999999923,2.710500000000001,-9.225000000000001,8.593333333333337,0.8445454545454556,22.99090909090909,1.4764615384615394,1.3,31.443333333333328,9.6525,13.949999999999998,0.1,-0.03,15.34,15.3,-0.14499999999999902,2.0,-0.007187500000000055,0.237125,2.8100000000000014,3.98,1.96,0.06389999999999998
T7V,825,2.916,-9.750625,-5.37,18.17,0.098,34.84000000000003,2.558749999999992,2.757375000000001,-9.771875000000001,8.926666666666671,0.5718181818181831,23.78636363636363,1.5033846153846162,1.3,34.026666666666664,10.2071875,14.418749999999998,0.0,0.0,15.83,15.8,-0.4574999999999986,2.4,-0.006406250000000058,0.2449375,2.8725000000000014,4.01,2.11,0.06264999999999998
T7.5V,750,2.875,-9.91,-5.54,18.59,0.095,35.74000000000003,2.5774999999999912,2.7855000000000008,-10.100000000000001,9.126666666666672,0.40818181818181976,24.26363636363636,1.5195384615384624,1.3,35.57666666666666,10.54,14.699999999999998,0.2,-0.05,16.61,16.5,-0.6449999999999985,2.6,-0.005937500000000061,0.24962499999999999,2.9100000000000015,4.05,2.19,0.06189999999999998
T8V,680,2.833,-10.05875,-5.71,19.02,0.095,36.580000000000034,2.594999999999991,2.811750000000001,-10.406250000000002,9.313333333333338,0.25545454545454716,24.709090909090904,1.5346153846153858,1.3,37.023333333333326,10.850625,14.962499999999997,0.2,-0.05,17.3,16.9,-0.8199999999999981,2.8,-0.00550000000000006,0.254,2.945000000000001,4.08,2.26,0.061199999999999984
T8.5V,600,2.778,-10.22875,-5.93,19.57,0.097,37.540000000000035,2.6149999999999904,2.841750000000001,-10.756250000000001,9.52666666666667,0.08090909090909282,25.21818181818181,1.5518461538461548,1.3,38.676666666666655,11.205625,15.262499999999998,0.2,-0.15,18.05,18.3,-1.0199999999999978,3.0,-0.005000000000000063,0.259,2.985000000000001,4.114285714285715,2.3399999999999994,0.06039999999999998
T9V,560,2.748,-10.313749999999999,-6.15,20.12,0.1,38.02000000000004,2.6249999999999902,2.856750000000001,-10.931250000000002,9.633333333333338,-0.006363636363634573,25.47272727272727,1.5604615384615395,1.3,39.50333333333332,11.383125,15.412499999999998,0.1,-0.2,18.51,18.6,-1.1199999999999977,3.2,-0.004750000000000063,0.2615,3.0050000000000017,4.131428571428572,2.3799999999999994,0.059999999999999984
T9.5V,510,2.708,-10.419999999999998,-6.318181818181818,20.53818181818182,0.10181818181818182,38.62000000000004,2.63749999999999,2.875500000000001,-11.150000000000002,9.766666666666673,-0.11545454545454348,25.790909090909086,1.57123076923077,1.3,40.536666666666655,11.605,15.599999999999998,-0.024999999999999994,-0.33636363636363636,19.75,20.5,-1.2449999999999974,3.4,-0.004437500000000063,0.264625,3.0300000000000016,4.152857142857144,2.4299999999999993,0.05949999999999998
Y0V,450,2.653,-10.5475,-6.52,21.04,0.104,39.34000000000004,2.6524999999999896,2.8980000000000015,-11.412500000000001,9.926666666666673,-0.24636363636363434,26.172727272727265,1.5841538461538471,1.3,41.77666666666666,11.87125,15.824999999999996,-0.17500000000000002,-0.5,20.15,21.0,-1.3949999999999974,3.6,-0.004062500000000066,0.26837500000000003,3.0600000000000014,4.17857142857143,2.4899999999999993,0.05889999999999998
Y0.5V,400,2.602,-10.653749999999999,-6.688181818181818,21.458181818181817,0.10581818181818181,39.94000000000004,2.6649999999999894,2.9167500000000013,-11.631250000000001,10.060000000000006,-0.35545454545454325,26.490909090909085,1.5949230769230782,1.3,42.80999999999999,12.093125,16.012499999999996,-0.30000000000000004,-0.6,22.0,21.6,-1.5199999999999971,3.9,-0.0037500000000000658,0.2715,3.0850000000000017,4.200000000000001,2.539999999999999,0.05839999999999998
Y1V,360,2.556,-10.73875,-6.822727272727271,21.79272727272727,0.10727272727272726,40.420000000000044,2.674999999999989,2.931750000000001,-11.806250000000002,10.166666666666671,-0.4427272727272702,26.74545454545454,1.6035384615384625,1.3,43.636666666666656,12.270624999999999,16.162499999999994,-0.4,-0.7066666666666667,22.7,22.2,-1.6199999999999972,4.1,-0.0035000000000000656,0.274,3.1050000000000013,4.217142857142858,2.579999999999999,0.05799999999999998
Y1.5V,325,2.512,-10.813125,-6.9404545454545445,22.085454545454542,0.10854545454545453,40.840000000000046,2.683749999999989,2.9448750000000015,-11.959375000000001,10.260000000000005,-0.5190909090909068,26.96818181818181,1.611076923076924,1.3,44.35999999999999,12.4259375,16.293749999999996,-0.48750000000000004,-0.8,23.2,22.9,-1.7074999999999971,4.4,-0.0032812500000000654,0.27618750000000003,3.1225000000000014,4.2321428571428585,2.614999999999999,0.05764999999999998
Y2V,320,2.505,-10.823749999999999,-6.957272727272726,22.127272727272725,0.10872727272727271,40.90000000000005,2.684999999999989,2.946750000000001,-11.981250000000003,10.273333333333339,-0.5299999999999976,26.999999999999993,1.6121538461538472,1.3,44.463333333333324,12.448125000000001,16.312499999999996,-0.5,-0.8133333333333334,23.6,23.5,-1.7199999999999969,4.7,-0.0032500000000000653,0.2765,3.1250000000000018,4.234285714285716,2.6199999999999988,0.057599999999999985
Y4V,250,2.398,-10.9725,-7.192727272727271,22.712727272727268,0.11127272727272725,41.740000000000045,2.7024999999999886,2.973000000000001,-12.287500000000001,10.460000000000004,-0.68272727272727,27.445454545454538,1.6272307692307701,1.3,45.90999999999999,12.75875,16.574999999999996,-0.675,-1.0,28.2,31.90000000000002,-1.8949999999999967,6.1,-0.0028125000000000684,0.28087500000000004,3.160000000000002,4.264285714285716,2.6899999999999986,0.05689999999999998
