original_name,correct_name
Gl 327,GJ 327
Gl 328,GJ 328
Gl 329,GJ 329
Gl 330,GJ 330
Gl 330.1,GJ 330.1
Gl 331A,GJ 331A
Gl 331B,GJ 331B
Gl 331C,GJ 331C
Gl 332A,GJ 332A
Gl 332B,GJ 332B
Gl 333,GJ 333
Gl 333.1,GJ 333.1
Gl 333.2A,GJ 333.2A
Gl 333.2B,GJ 333.2B
Gl 333.3,GJ 333.3
Gl 334,GJ 334
Gl 334.1,GJ 334.1
Gl 334.2,GJ 334.2
Gl 335A,GJ 335A
Gl 335B,GJ 335B
Gl 336,GJ 336
Gl 336.1,GJ 336.1
Gl 336.2A,GJ 336.2A
Gl 336.2B,GJ 336.2B
Gl 337A,GJ 337A
Gl 337B,GJ 337B
Gl 337.1,GJ 337.1
Gl 338A,GJ 338A
Gl 338B,GJ 338B
Gl 338.1A,GJ 338.1A
Gl 338.1B,GJ 338.1B
Gl 339AB,GJ 339AB
Gl 339.1,GJ 339.1
Gl 339.3,GJ 339.3
Gl 340A,GJ 340A
Gl 340B,GJ 340B
Gl 340.1A,GJ 340.1A
Gl 340.1B,GJ 340.1B
Gl 340.2,GJ 340.2
Gl 340.3,GJ 340.3
Gl 341,GJ 341
Gl 341.1,GJ 341.1
Gl 342,GJ 342
Gl 343,GJ 343
Gl 343.1,GJ 343.1
Gl 344A,GJ 344A
Gl 344B,GJ 344B
Gl 346,GJ 346
Gl 347A,GJ 347A
Gl 347B,GJ 347B
Gl 348B,GJ 348B
Gl 348A,GJ 348A
Gl 349,GJ 349
Gl 351A,GJ 351A
Gl 351B,GJ 351B
Gl 351.1,GJ 351.1
Gl 352A,GJ 352A
Gl 352B,GJ 352B
Gl 353,GJ 353
Gl 354A,GJ 354A
Gl 354B,GJ 354B
Gl 354.1B,GJ 354.1B
Gl 354.1A,GJ 354.1A
Gl 355,GJ 355
Gl 355.1,GJ 355.1
Gl 355.2,GJ 355.2
Gl 356A,GJ 356A
Gl 356B,GJ 356B
Gl 357,GJ 357
Gl 358,GJ 358
Gl 359,GJ 359
Gl 360,GJ 360
Gl 361,GJ 361
Gl 362,GJ 362
Gl 363,GJ 363
Gl 364,GJ 364
Gl 365,GJ 365
Gl 366,GJ 366
Gl 366.1A,GJ 366.1A
Gl 366.1B,GJ 366.1B
Gl 367,GJ 367
Gl 368,GJ 368
Gl 368.1A,GJ 368.1A
Gl 368.1B,GJ 368.1B
Gl 369,GJ 369
Gl 370,GJ 370
Gl 371,GJ 371
Gl 372,GJ 372
Gl 373,GJ 373
Gl 374,GJ 374
Gl 375,GJ 375
Gl 375.1,GJ 375.1
Gl 376,GJ 376
Gl 377,GJ 377
Gl 378,GJ 378
Gl 378.1,GJ 378.1
Gl 378.2,GJ 378.2
Gl 378.3,GJ 378.3
Gl 379A,GJ 379A
Gl 379B,GJ 379B
Gl 379.1A,GJ 379.1A
Gl 379.1B,GJ 379.1B
Gl 379.2,GJ 379.2
Gl 380,GJ 380
Gl 381,GJ 381
Gl 382,GJ 382
Gl 383,GJ 383
Gl 383.1,GJ 383.1
Gl 384A,GJ 384A
Gl 384B,GJ 384B
Gl 385,GJ 385
Gl 385.1,GJ 385.1
Gl 386,GJ 386
Gl 387A,GJ 387A
Gl 387B,GJ 387B
Gl 388,GJ 388
Gl 388.1,GJ 388.1
Gl 388.2,GJ 388.2
Gl 389A,GJ 389A
Gl 389B,GJ 389B
Gl 389.1,GJ 389.1
Gl 390,GJ 390
Gl 391,GJ 391
Gl 392A,GJ 392A
Gl 392B,GJ 392B
Gl 392.1,GJ 392.1
Gl 393,GJ 393
Gl 394,GJ 394
Gl 395,GJ 395
Gl 396,GJ 396
Gl 397,GJ 397
Gl 397.1A,GJ 397.1A
Gl 397.1B,GJ 397.1B
Gl 397.2,GJ 397.2
Gl 398,GJ 398
Gl 398.1,GJ 398.1
Gl 399,GJ 399
Gl 400A,GJ 400A
Gl 400B,GJ 400B
Gl 401A,GJ 401A
Gl 401B,GJ 401B
Gl 402,GJ 402
Gl 402.1,GJ 402.1
Gl 403,GJ 403
Gl 403.1,GJ 403.1
Gl 404,GJ 404
