HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
SRA02_E1_4106;;;;;;;;;;,15
HD51756;;;;;;;;;;,15
PAR-1455;P1455;;;;;;;;;,15
LRA01_E1_0286;;;;;;;;;;,15
HD170783;;;;;;;;;;,15
HD42299;;;;;;;;;;,15
HD133803;;;;;;;;;;,15
HD-205879;;;;;;;;;;,15
A_20CNC;B_20CNC;20CNC;HD 70569;;;;;;;,15
A_37CNC;B_37CNC;37CNC;D_37CNC;;;;;;;,15
AK_FOR;AK FOR;A032923;V AK FOR;;;;;;;,15
SW0254-1053;;;;;;;;;;,15
OGLE-SMC-T2CEP-29;SMC-T2CEP-29;;;;;;;;;,15
HIP13044;;;;;;;;;;,15
CWW_023;;;;;;;;;;,15
HD223340;;;;;;;;;;,15
HATS581-012;;;;;;;;;;,15
HD20439;HIP15310;;;;;;;;;,15
HD816384;;;;;;;;;;,15
HD110058;;;;;;;;;;,15
XX_SGR;XX SGR;GC-XXSGR;;;;;;;;,15
XX_CEN;XX CEN;GC-XXCEN;;;;;;;;,15
HD37160;;;;;;;;;;,15
HATS698-015;;;;;;;;;;,15
HATS537-013;;;;;;;;;;,15
NG2142+0826-10733;;;;;;;;;;,15
SW0623-3306;;;;;;;;;;,15
HD219869;HD219689;;;;;;;;;,15
WY_ANT;;;;;;;;;;,15
HD149946;;;;;;;;;;,15
HATS546-005;;;;;;;;;;,15
CL014-15;CL014_15;;;;;;;;;,15
HIP104687A;HIP104687B;;;;;;;;;,15
HD135778;;;;;;;;;;,15
HD148153;;;;;;;;;;,15
HD146897;;;;;;;;;;,15
HD140129;;;;;;;;;;,15
HD95338;;;;;;;;;;,15
TOI-216;;;;;;;;;;,15
G267-158;;;;;;;;;;,15
TOI-271;;;;;;;;;;,15
V439_OPH;;;;;;;;;;,15
HIP5364;;;;;;;;;;,15
TIC382200986;TIC 382200986;;;;;;;;;,15
J0503-25;;;;;;;;;;,15
TIC 219181903;TIC219181903;;;;;;;;;,15
J1919-40;;;;;;;;;;,15
V LY LUP;;;;;;;;;;,15
V LX LUP;;;;;;;;;;,15
TIC190721237;TYC 7150-787-1;;;;;;;;;,15
TOI-952;;;;;;;;;;,15
TIC322807371;;;;;;;;;;,15
493.01;TOI-493;;;;;;;;;,15
TOI-2641;;;;;;;;;;,15
HD 143424;;;;;;;;;;,15
HD18386;;;;;;;;;;,14
HD27471;;;;;;;;;;,14
HD38355;;;;;;;;;;,14
GJ84.1A;HIP9749;;;;;;;;;,14
HD41087;;;;;;;;;;,14
BD-130116;;;;;;;;;;,14
HD209566;;;;;;;;;;,14
HD62816;;;;;;;;;;,14
HIP49520B;HIP49520A;HD87743B;;;;;;;;,14
HIP17956;;;;;;;;;;,14
HD28192;;;;;;;;;;,14
HD70903;;;;;;;;;;,14
HD64640;;;;;;;;;;,14
HIP-63918;HD113679;;;;;;;;;,14
HIP63995;HD113513;;;;;;;;;,14
HD92547;;;;;;;;;;,14
HD134929B;HD134928;HD134929;;;;;;;;,14
R-TRA;;;;;;;;;;,14
GL555;;;;;;;;;;,14
HD128431;;;;;;;;;;,14
HD3221;HD003221;;;;;;;;;,14
HIP7058;;;;;;;;;;,14
HD7515;;;;;;;;;;,14
HD311505;;;;;;;;;;,14
NGC4349NO203;NGC4349_203;;;;;;;;;,14
HD-144897;;;;;;;;;;,14
HD-190290;HD_190290;;;;;;;;;,14
HD330399;;;;;;;;;;,14
HD173818;;;;;;;;;;,14
GL452.1;;;;;;;;;;,14
HD154195A;HIP83609B;;;;;;;;;,14
HD216627;;;;;;;;;;,14
HD210418;;;;;;;;;;,14
NGC2360NO119;;;;;;;;;;,14
NGC2360NO7;;;;;;;;;;,14
NGC2360NO89;;;;;;;;;;,14
HV2538;;;;;;;;;;,14
HD43940;;;;;;;;;;,14
HD97603;;;;;;;;;;,14
HD110411;;;;;;;;;;,14
HD163436;;;;;;;;;;,14
HD89328;;;;;;;;;;,14
HD193406;HD 193406;;;;;;;;;,14
HD-21011;;;;;;;;;;,14
HD-30185;;;;;;;;;;,14
HD-32515;;;;;;;;;;,14
HD-41047;;;;;;;;;;,14
HD115202;HD-115202;;;;;;;;;,14
NGC6494NO49;;;;;;;;;;,14
NGC6494NO6;;;;;;;;;;,14
HD144848;;;;;;;;;;,14
NGC6705NO660;NGC6705NO669;;;;;;;;;,14
SMC8-201484;SC8-84;;;;;;;;;,14
GJ155.1;;;;;;;;;;,14
GJ645;;;;;;;;;;,14
HD56259;;;;;;;;;;,14
HD158469;HIP85747;;;;;;;;;,14
LRA01_E2_3459;;;;;;;;;;,14
NGC2477NO8216;;;;;;;;;;,14
NGC2477NO2061;;;;;;;;;;,14
LMC119.7-26856;;;;;;;;;;,14
KL-CMA;0630_KL-CMA;;;;;;;;;,14
SAND815;S815;;;;;;;;;,14
SAND1271;S1271;;;;;;;;;,14
GJ4088;;;;;;;;;;,14
HD168525;HD-168525;A_HD168525;B_HD168525;D_HD168525;;;;;;,14
HD177033;HD 177033;;;;;;;;;,14
HD175640;HD-175640;;;;;;;;;,14
LRC02_E1_0632;;;;;;;;;;,14
HD28305;HR1409;HD 28305;HIP20889;;;;;;;,14
HD157950;;;;;;;;;;,14
HD-55857;;;;;;;;;;,14
B_HR2457;A_HR2457;HR2457;;;;;;;;,14
HIP-81746;HIP81746;;;;;;;;;,14
HD161701;HD-161701;;;;;;;;;,14
SMC-CEP-0518;;;;;;;;;;,14
V496_AQL;V496 AQL;GC-V496AQL;;;;;;;;,14
HD16031;;;;;;;;;;,14
BLG197.1_55990;;;;;;;;;;,14
V923-SCO;V923 SCO;V923SCO;;;;;;;;,14
HATS588-005;;;;;;;;;;,14
HD_16582_4.07;;;;;;;;;;,14
HD10360;;;;;;;;;;,14
HD6480;HIP5141;HIP5144;;;;;;;;,14
HD000005;;;;;;;;;;,14
KQ SCO;KQ_SCO;GC-KQSCO;;;;;;;;,14
CL009-08;;;;;;;;;;,14
HD000002;;;;;;;;;;,14
ST_PUP;ST PUP;;;;;;;;;,14
VY_CAR;VY CAR;;;;;;;;;,14
SU CRU;SU_CRU;;;;;;;;;,14
V675 CEN;V675_CEN;;;;;;;;;,14
TYC266-718-1;;;;;;;;;;,14
TYC4951-933-1;;;;;;;;;;,14
NG1429-3056-51448;;;;;;;;;;,14
NG0603-3056-24577;;;;;;;;;;,14
CG_SCL;;;;;;;;;;,14
TYC1257-132-1;;;;;;;;;;,14
TYC5829-1047-1;;;;;;;;;;,14
SX_FOR;;;;;;;;;;,14
WZ_HYA;;;;;;;;;;,14
SW2046-4149;;;;;;;;;;,14
HD112109;;;;;;;;;;,14
HD151376;;;;;;;;;;,14
HD119718;;;;;;;;;;,14
HD135953;;;;;;;;;;,14
HD145560;;;;;;;;;;,14
HD113901;;;;;;;;;;,14
HD121189;;;;;;;;;;,14
HD106473;;;;;;;;;;,14
HD109832;;;;;;;;;;,14
HD111102;;;;;;;;;;,14
SW1057-2959;;;;;;;;;;,14
TIC123846039;TOI-883;;;;;;;;;,14
TOI-618;;;;;;;;;;,14
HD27476;;;;;;;;;;,14
J0931-07;;;;;;;;;;,14
J0657-39;;;;;;;;;;,14
TIC418255064;TIC 418255064;;;;;;;;;,14
TIC235039711;TYC 9126-1532-1;;;;;;;;;,14
TIC279475245;;;;;;;;;;,14
TIC238060327;;;;;;;;;;,14
TIC237929468;;;;;;;;;;,14
TIC147277741;;;;;;;;;;,14
HD 149079;;;;;;;;;;,14
HD 135204;;;;;;;;;;,14
HD 144840;;;;;;;;;;,14
HD211532;;;;;;;;;;,13
HD4021;;;;;;;;;;,13
HD197890;HD-197890;;;;;;;;;,13
HD210573;;;;;;;;;;,13
GL250B;;;;;;;;;;,13
HD66740;;;;;;;;;;,13
GJ1265;;;;;;;;;;,13
HR2787;;;;;;;;;;,13
HD66039;;;;;;;;;;,13
HD299043;;;;;;;;;;,13
HD75328;;;;;;;;;;,13
HD88474;;;;;;;;;;,13
HIP27323;;;;;;;;;;,13
BD--4-3208;;;;;;;;;;,13
HD181387;BD+004175B;;;;;;;;;,13
HD125271;;;;;;;;;;,13
BG-IND;HD208496;;;;;;;;;,13
HD206116;;;;;;;;;;,13
HD14452;;;;;;;;;;,13
HD221609;;;;;;;;;;,13
SAO154153;;;;;;;;;;,13
HD-16522;HD16522;;;;;;;;;,13
HD-92106;;;;;;;;;;,13
HD27947;;;;;;;;;;,13
HD11262;;;;;;;;;;,13
HD30157;;;;;;;;;;,13
V343NOR;HD139084;;;;;;;;;,13
HD-119027;;;;;;;;;;,13
HD156991;;;;;;;;;;,13
HD203473;;;;;;;;;;,13
HD139536;;;;;;;;;;,13
HD190524;;;;;;;;;;,13
BD-044138;;;;;;;;;;,13
HD48381;;;;;;;;;;,13
HD115902;;;;;;;;;;,13
HD119217;;;;;;;;;;,13
HIP76550;;;;;;;;;;,13
HD195200;;;;;;;;;;,13
620;NGC6253_620;NGC6253_MEM620;;;;;;;;,13
HIP105506;;;;;;;;;;,13
HD191033;;;;;;;;;;,13
HD-29399;HD29399;;;;;;;;;,13
HD-28093;;;;;;;;;;,13
HD-23319;;;;;;;;;;,13
HD-29291;;;;;;;;;;,13
HD-18885;HD18885;;;;;;;;;,13
HD-18293;;;;;;;;;;,13
HD-45669;;;;;;;;;;,13
HD74560;HY_VEL;;;;;;;;;,13
HD-65695;27_MON;;;;;;;;;,13
HD-78004;C-VEL;;;;;;;;;,13
EPS-CRU;HD-107446;;;;;;;;;,13
HD96494;;;;;;;;;;,13
HD108953;;;;;;;;;;,13
HD197921;;;;;;;;;;,13
NGC6705NO2000;;;;;;;;;;,13
NGC6705NO1423;;;;;;;;;;,13
NGC6705NO1364;;;;;;;;;;,13
HD190590;;;;;;;;;;,13
HD189627;;;;;;;;;;,13
SMC4-192903;SC4-03;;;;;;;;;,13
GJ510;;;;;;;;;;,13
GJ821;;;;;;;;;;,13
GJ4092;;;;;;;;;;,13
HD201757;;;;;;;;;;,13
GJ167.2;;;;;;;;;;,13
LMC-CEP1812;;;;;;;;;;,13
OBJ689;;;;;;;;;;,13
NY-HYA;0921_NY-HYA;;;;;;;;;,13
FM_LEO;;;;;;;;;;,13
CD-32_9927;;;;;;;;;;,13
HD-106625-V;HD-106625;;;;;;;;;,13
HIP105368;;;;;;;;;;,13
HD-209459;HR8404;;;;;;;;;,13
HD53921;HD_53921_5.64;;;;;;;;;,13
HD22054;;;;;;;;;;,13
LRC08_E2_4905;;;;;;;;;;,13
CWW_063;;;;;;;;;;,13
CWW_074;;;;;;;;;;,13
CWW_097;;;;;;;;;;,13
HD-46328;;;;;;;;;;,13
HATS606-010;;;;;;;;;;,13
HD68978A;;;;;;;;;;,13
HT VIR;HT-VIR;;;;;;;;;,13
C02T009;;;;;;;;;;,13
LQ-MUS;LQ_MUS;;;;;;;;;,13
EPIC212645891;;;;;;;;;;,13
HD 120250;;;;;;;;;;,13
RU_SCT;RU SCT;GC-RUSCT;;;;;;;;,13
HATS709-003;;;;;;;;;;,13
GY_SGE;GY SGE;;;;;;;;;,13
E_202843085;EPIC-202843085;;;;;;;;;,13
E_202843107;EPIC-202843107;;;;;;;;;,13
NG2152-1403.17793;;;;;;;;;;,13
GN_CNC;;;;;;;;;;,13
HD141011;;;;;;;;;;,13
HD148055;HD 148055;;;;;;;;;,13
HD150589;;;;;;;;;;,13
TYC6780-1523-1;;;;;;;;;;,13
HD153232;;;;;;;;;;,13
HD146610;;;;;;;;;;,13
V764_MON;;;;;;;;;;,13
HD19463;HD194623;;;;;;;;;,13
TOI-654;;;;;;;;;;,13
TIC206541859;;;;;;;;;;,13
TOI-823;;;;;;;;;;,13
HD212373;;;;;;;;;;,13
GN_AQR;;;;;;;;;;,13
VZ_PSA;;;;;;;;;;,13
E_206134477;;;;;;;;;;,13
E_220471927;;;;;;;;;;,13
AW_COL;;;;;;;;;;,13
TYC8547-1509-1;;;;;;;;;;,13
HD50876;;;;;;;;;;,13
J2355-27;;;;;;;;;;,13
TIC 22317640;TIC22317640;;;;;;;;;,13
CD-33 10685;;;;;;;;;;,13
V WW VUL;;;;;;;;;;,13
V VV SER;;;;;;;;;;,13
NOI-106050;;;;;;;;;;,13
NOI-105484;;;;;;;;;;,13
TOI-502;;;;;;;;;;,13
TOI-355;;;;;;;;;;,13
TOI-777;;;;;;;;;;,13
ASSASN-22AV;;;;;;;;;;,13
BD-160308;;;;;;;;;;,12
HD29263;;;;;;;;;;,12
HD16382;;;;;;;;;;,12
HD12617;;;;;;;;;;,12
HD48611;;;;;;;;;;,12
HIP25612;;;;;;;;;;,12
HD16297;;;;;;;;;;,12
HD94444;;;;;;;;;;,12
CD-436810;;;;;;;;;;,12
HIP41795;;;;;;;;;;,12
HIP53559;;;;;;;;;;,12
BD-091261;;;;;;;;;;,12
HD124106;;;;;;;;;;,12
HD93745;;;;;;;;;;,12
HD114561;;;;;;;;;;,12
HD19423;;;;;;;;;;,12
HD130989;;;;;;;;;;,12
HIP69224;;;;;;;;;;,12
S-CRU;;;;;;;;;;,12
HD177724;;;;;;;;;;,12
GL486;;;;;;;;;;,12
GJ1236;;;;;;;;;;,12
HD215625;;;;;;;;;;,12
HD141598;;;;;;;;;;,12
HD218750;;;;;;;;;;,12
PPM213757;;;;;;;;;;,12
HD18330;;;;;;;;;;,12
HD-144059;;;;;;;;;;,12
BD-124542;;;;;;;;;;,12
HD129229;;;;;;;;;;,12
HD201219;;;;;;;;;;,12
HD206658;;;;;;;;;;,12
HD208880;;;;;;;;;;,12
HD200779;;;;;;;;;;,12
HD144846;;;;;;;;;;,12
HD196397;;;;;;;;;;,12
HD190204;;;;;;;;;;,12
HD-204943;;;;;;;;;;,12
HD-206561;;;;;;;;;;,12
HD-205471;;;;;;;;;;,12
HD177178;;;;;;;;;;,12
HD167468;;;;;;;;;;,12
HD-61273;;;;;;;;;;,12
HD82165;;;;;;;;;;,12
HD66664;;;;;;;;;;,12
HD106661;;;;;;;;;;,12
HD90132;;;;;;;;;;,12
HD102124;;;;;;;;;;,12
BD-123458;;;;;;;;;;,12
BD-215811;;;;;;;;;;,12
HD220456;;;;;;;;;;,12
HD212658;;;;;;;;;;,12
HD210507;;;;;;;;;;,12
HD219495;;;;;;;;;;,12
HD-344;;;;;;;;;;,12
HD-22231;;;;;;;;;;,12
HD-17793;;;;;;;;;;,12
HD-28028;;;;;;;;;;,12
HD-34642;HD34642;;;;;;;;;,12
HD-34649;;;;;;;;;;,12
HD-33285;;;;;;;;;;,12
HD-181517;;;;;;;;;;,12
HD-182893;;;;;;;;;;,12
HD-17824;;;;;;;;;;,12
HD-17374;;;;;;;;;;,12
HD-29751;;;;;;;;;;,12
HD-40808;;;;;;;;;;,12
HD-41245;;;;;;;;;;,12
HD-46116;;;;;;;;;;,12
HD-121416;HD121416;;;;;;;;;,12
HD-168454;;;;;;;;;;,12
HD165204;;;;;;;;;;,12
HD222910;;;;;;;;;;,12
HD56957;;;;;;;;;;,12
GJ1009;;;;;;;;;;,12
GJ3110;;;;;;;;;;,12
GJ3202;;;;;;;;;;,12
GJ3501A;;;;;;;;;;,12
T-CHA;STD1157-7921;;;;;;;;;,12
GJ476;;;;;;;;;;,12
GJ477;;;;;;;;;;,12
GJ3759;;;;;;;;;;,12
GJ3885;;;;;;;;;;,12
HD214953;GJ871B;;;;;;;;;,12
GJ1032;;;;;;;;;;,12
GJ3141;;;;;;;;;;,12
GJ3212;;;;;;;;;;,12
GJ3455;;;;;;;;;;,12
SMC130.5-4293;;;;;;;;;;,12
LMC133.8-66;;;;;;;;;;,12
COMB-STAR-6GHZ;;;;;;;;;;,12
OBJ349;;;;;;;;;;,12
HD-51797;SERAM-0656-4646;;;;;;;;;,12
TYC-7697-2254-1;SERAM-0947-4003;;;;;;;;;,12
QR_HYA;QU_HYA;;;;;;;;;,12
HIP-22068;;;;;;;;;;,12
GJ734B;;;;;;;;;;,12
GJ1248;;;;;;;;;;,12
HD-110073-V;HD-110073;;;;;;;;;,12
HR6139;;;;;;;;;;,12
HIP110692;TOI-139;;;;;;;;;,12
HD010472;;;;;;;;;;,12
V722_MON;V722-MEN;0628_V722-MEN;;;;;;;;,12
HD-284419;;;;;;;;;;,12
HD-77137;;;;;;;;;;,12
HD-65950;;;;;;;;;;,12
ASAS180057;;;;;;;;;;,12
HR1411;;;;;;;;;;,12
WD-0310-688;;;;;;;;;;,12
HD74195;OMI-VEL;;;;;;;;;,12
HD-105382;;;;;;;;;;,12
HD-224686;;;;;;;;;;,12
HD-68395;;;;;;;;;;,12
HD-50013;;;;;;;;;;,12
HD-224990;;;;;;;;;;,12
HIP-65708;HD 117126;;;;;;;;;,12
SW1101-2351;;;;;;;;;;,12
HD147135;A_HD147135;B_HD147135;C_HD147135;D_HD147135;;;;;;,12
HD-214748;;;;;;;;;;,12
HD-143978;;;;;;;;;;,12
CHX-22;;;;;;;;;;,12
HD12767;;;;;;;;;;,12
HD175362;HD176232;;;;;;;;;,12
SMC-CEP-1729;;;;;;;;;;,12
SMC-CEP-1761;;;;;;;;;;,12
U_CAR;U CAR;;;;;;;;;,12
SMC-CEP-1385;;;;;;;;;;,12
LMC562.05_9009;LMC-CEP-9009;LMC562.05-9009;OGLE-LMC-CEP-4506;;;;;;;,12
PAR-1391;;;;;;;;;;,12
PAR-1414;;;;;;;;;;,12
HD-133518;;;;;;;;;;,12
NGC3114NO181;;;;;;;;;;,12
CWW_060;;;;;;;;;;,12
HD-36486;;;;;;;;;;,12
HD125288;;;;;;;;;;,12
HD54879;;;;;;;;;;,12
CWW_075;;;;;;;;;;,12
RXJ1608.9-3905;;;;;;;;;;,12
HATS626-005;;;;;;;;;;,12
GAM-HYI;;;;;;;;;;,12
IOT-GRU;;;;;;;;;;,12
HD20430;HIP15304;;;;;;;;;,12
HD46190;;;;;;;;;;,12
KAP-VEL;;;;;;;;;;,12
S-CAR;;;;;;;;;;,12
K2-24;;;;;;;;;;,12
GAM-TUC;;;;;;;;;;,12
LTT-6339;;;;;;;;;;,12
HD170836;;;;;;;;;;,12
BF OPH;BF_OPH;GC-BFOPH;BF-OPH;;;;;;;,12
RY SCO;RY_SCO;GC-RYSCO;GC-WZSGR;;;;;;;,12
SZ_AQL;SZ AQL;GC-SZAQL;;;;;;;;,12
FN_AQL;FN AQL;GC-FNAQL;;;;;;;;,12
T_VEL;GC-TVEL;T VEL;;;;;;;;,12
HD220657;;;;;;;;;;,12
HATS537-014;SW2236-1659;;;;;;;;;,12
CD-24_17223;CD-24 17223;;;;;;;;;,12
BX_DEL;BX DEL;;;;;;;;;,12
CS_ERI;;;;;;;;;;,12
UU_VIR;;;;;;;;;;,12
SS_LEO;;;;;;;;;;,12
V400_GEM;;;;;;;;;;,12
HR3560;;;;;;;;;;,12
HATS546-011;;;;;;;;;;,12
CL018_14;CL018-14;;;;;;;;;,12
HD149790;;;;;;;;;;,12
HD137057;;;;;;;;;;,12
HD142446;;;;;;;;;;,12
TYC6206-1374-1;;;;;;;;;;,12
TYC6247-420-1;;;;;;;;;;,12
HD159246;;;;;;;;;;,12
HD145972;;;;;;;;;;,12
HD115820;;;;;;;;;;,12
HD118379;;;;;;;;;;,12
HD119511;;;;;;;;;;,12
J1246-48;;;;;;;;;;,12
HD201247A;HD201247B;;;;;;;;;,12
K2-122;;;;;;;;;;,12
HD105874;;;;;;;;;;,12
HD133131A;HD133131B;;;;;;;;;,12
HD 144432;HD144432;;;;;;;;;,12
TOI-499;;;;;;;;;;,12
TYC5239-1149-1;;;;;;;;;;,12
TYC20-893-1;;;;;;;;;;,12
OGLE-GD-CEP-0291;GD-CEP-0291;;;;;;;;;,12
AW_MIC;;;;;;;;;;,12
V VV CRA;;;;;;;;;;,12
V S CRA;;;;;;;;;;,12
TIC212359877;;;;;;;;;;,12
NOI-106475;;;;;;;;;;,12
TIC92304420;TIC92304420 - 03H22;;;;;;;;;,12
TIC408114363;;;;;;;;;;,12
TOI-835;;;;;;;;;;,12
TIC357312511;;;;;;;;;;,12
TIC258917846;;;;;;;;;;,12
HD 5827;;;;;;;;;;,12
HD 63433;;;;;;;;;;,12
HD13789;;;;;;;;;;,11
BD-150767;;;;;;;;;;,11
HIP20444;;;;;;;;;;,11
HD28969;;;;;;;;;;,11
HD33811;;;;;;;;;;,11
HD3808;;;;;;;;;;,11
HD13578;;;;;;;;;;,11
HD32646;;;;;;;;;;,11
HIP22059;;;;;;;;;;,11
LHS3836;;;;;;;;;;,11
L225-57;;;;;;;;;;,11
GL203;;;;;;;;;;,11
HIP14593A;;;;;;;;;;,11
HD7279;;;;;;;;;;,11
HIP41847;;;;;;;;;;,11
HD29428;;;;;;;;;;,11
HD68287;;;;;;;;;;,11
HD69247;;;;;;;;;;,11
HD30703;;;;;;;;;;,11
HD77058;;;;;;;;;;,11
HD77462;;;;;;;;;;,11
HD100289;;;;;;;;;;,11
HD106589;;;;;;;;;;,11
HD104760A;;;;;;;;;;,11
HD86652;;;;;;;;;;,11
CD-662318;HD183826;;;;;;;;;,11
BRXG;A225817;RX-GRU;RX_GRU;;;;;;;,11
HD174153;;;;;;;;;;,11
HIP1696;;;;;;;;;;,11
BD-200470;;;;;;;;;;,11
HD-12055;HD12055;;;;;;;;;,11
HD212231;;;;;;;;;;,11
TR123;OGLE-TR-123;;;;;;;;;,11
HD126999;;;;;;;;;;,11
HD151772;;;;;;;;;;,11
HIP95417;;;;;;;;;;,11
HD196384;;;;;;;;;;,11
BD-124699;;;;;;;;;;,11
HD202819;;;;;;;;;;,11
HD153851;;;;;;;;;;,11
HD4649;;;;;;;;;;,11
HD5470;;;;;;;;;;,11
HD139763;;;;;;;;;;,11
HD147642;;;;;;;;;;,11
HD199086;;;;;;;;;;,11
HD329879;;;;;;;;;;,11
HIP102964;;;;;;;;;;,11
BD-034797;;;;;;;;;;,11
HD-10615;;;;;;;;;;,11
HD-12524;;;;;;;;;;,11
HD-23719;;;;;;;;;;,11
HD-34266;;;;;;;;;;,11
HD-36848;;;;;;;;;;,11
HD-39425;;;;;;;;;;,11
HD-188114;;;;;;;;;;,11
HD-179443;;;;;;;;;;,11
HD-5722;HD5722;;;;;;;;;,11
HD-13692;;;;;;;;;;,11
HD-22409;;;;;;;;;;,11
HD-21430;;;;;;;;;;,11
HD-22676;;;;;;;;;;,11
HD-44762;;;;;;;;;;,11
HD-46415;;;;;;;;;;,11
HD-47001;;;;;;;;;;,11
HD-49877;;;;;;;;;;,11
HD-14830;;;;;;;;;;,11
HD-50778;;;;;;;;;;,11
HD-64152;HD64152;;;;;;;;;,11
HD-18907;EPS-FOR;HD18907;;;;;;;;,11
HD-82668;N-VEL;;;;;;;;;,11
HD-134505;ZET-LUP;;;;;;;;;,11
HD101197;;;;;;;;;;,11
HD193995;;;;;;;;;;,11
HD202389;;;;;;;;;;,11
NGC6705NO1145;;;;;;;;;;,11
HD-150562;;;;;;;;;;,11
HD-218495;;;;;;;;;;,11
HD26071;HD 26071;;;;;;;;;,11
HD10188;;;;;;;;;;,11
GJ7;;;;;;;;;;,11
GJ143.2B;;;;;;;;;;,11
GJ377;;;;;;;;;;,11
HD-154708;;;;;;;;;;,11
GJ469;;;;;;;;;;,11
HD40293;;;;;;;;;;,11
GJ747.4;;;;;;;;;;,11
GW-ORI;SERAM-0529+1152;SERAM_0529+1152;;;;;;;;,11
GJ85;;;;;;;;;;,11
GJ3279;;;;;;;;;;,11
GJ333;;;;;;;;;;,11
GJ3009;;;;;;;;;;,11
GJ3356;;;;;;;;;;,11
LMC171.8-36981;;;;;;;;;;,11
OBJ1392;;;;;;;;;;,11
OBJ1722;;;;;;;;;;,11
SAND731;S731;;;;;;;;;,11
HY_VIR;;;;;;;;;;,11
WZ_OPH;;;;;;;;;;,11
V358-PUP;0658_V358-PUP;;;;;;;;;,11
GJ3835;;;;;;;;;;,11
GJ4056;;;;;;;;;;,11
GJ3700;;;;;;;;;;,11
GJ4364;;;;;;;;;;,11
EE-PEG;;;;;;;;;;,11
HD211970;;;;;;;;;;,11
HD154801;HD 154801;HD-154801;ASAS_170811;;;;;;;,11
HIP43267;HD75413;;;;;;;;;,11
LRC05_E2_4607;;;;;;;;;;,11
HD87810;;;;;;;;;;,11
SRA03_E2_1073;;;;;;;;;;,11
HD166194;A_HD166194;B_HD166194;C_HD166194;D_HD166194;;;;;;,11
LRC07_E2_5150;;;;;;;;;;,11
LRC05_E2_1478;;;;;;;;;;,11
U_VUL;GC-SVUL;GC-UVUL;U VUL;;;;;;;,11
NGC3114NO238;;;;;;;;;;,11
NGC3114NO150;;;;;;;;;;,11
HD72892;;;;;;;;;;,11
BLG184.6_111747;;;;;;;;;;,11
CWW_076;;;;;;;;;;,11
T_MON;;;;;;;;;;,11
PSI-CEN;;;;;;;;;;,11
HATS568-003;;;;;;;;;;,11
C01T002;EPIC201546283;;;;;;;;;,11
C6_4689;CL011_06;CL011-06;;;;;;;;,11
YZ SQR;YZ_SGR;GC-YZSGR;;;;;;;;,11
FM AQL;FM_AQL;GC-FMAQL;;;;;;;;,11
AQ_PUP;GC-AQPUP;AQ PUP;;;;;;;;,11
C8_6054;;;;;;;;;;,11
HATS736-001;;;;;;;;;;,11
VY_PYX;VY PYX;;;;;;;;;,11
CQ_IND;CQ IND;;;;;;;;;,11
C11_6032;CL002-11;;;;;;;;;,11
CD-41_1394;;;;;;;;;;,11
E_202086627;;;;;;;;;;,11
BD+17_1832;;;;;;;;;;,11
BD-18_4532;;;;;;;;;;,11
HD143538;;;;;;;;;;,11
HD147220;;;;;;;;;;,11
HD145718;;;;;;;;;;,11
BD-19_4582;;;;;;;;;;,11
WCEN;25664;WCEN_LORENZO;;;;;;;;,11
SW0602-6449;;;;;;;;;;,11
SW1048-2517;;;;;;;;;;,11
TYC852-1050-1;;;;;;;;;;,11
NOI-103351;;;;;;;;;;,11
HD38600;;;;;;;;;;,11
TOI-570;;;;;;;;;;,11
XZ_GRU;;;;;;;;;;,11
TYC6484-426-1;;;;;;;;;;,11
HIP10258;BD+03   301;;;;;;;;;,11
J1140-74;;;;;;;;;;,11
J0456-74;;;;;;;;;;,11
J0709-48;;;;;;;;;;,11
HD 215532;;;;;;;;;;,11
TYC 6505-661-1;;;;;;;;;;,11
HD203021;;;;;;;;;;,10
HD41071;;;;;;;;;;,10
HIP108567;;;;;;;;;;,10
HD21759;;;;;;;;;;,10
HD25535A;;;;;;;;;;,10
LTT9759;;;;;;;;;;,10
LHS1731;;;;;;;;;;,10
LHS1481;;;;;;;;;;,10
HD78538;HD 78538;;;;;;;;;,10
GL438;;;;;;;;;;,10
HIP47;;;;;;;;;;,10
HD112164;;;;;;;;;;,10
HD72374;;;;;;;;;;,10
HD42269;;;;;;;;;;,10
HD38772;;;;;;;;;;,10
HD116883;;;;;;;;;;,10
BD-183106;;;;;;;;;;,10
GJ1256;;;;;;;;;;,10
LHS337;;;;;;;;;;,10
GL480.1;;;;;;;;;;,10
GL643;;;;;;;;;;,10
HD210329;;;;;;;;;;,10
HIP113596;;;;;;;;;;,10
HD224047;;;;;;;;;;,10
HD223352;;;;;;;;;;,10
HD18632;HIP13976;;;;;;;;;,10
HIP8119;;;;;;;;;;,10
HD111631;;;;;;;;;;,10
HD154160;;;;;;;;;;,10
HD219781;;;;;;;;;;,10
HIP96240;;;;;;;;;;,10
HD149724;;;;;;;;;;,10
HD217221;;;;;;;;;;,10
HD170209;;;;;;;;;;,10
HD-210139;;;;;;;;;;,10
HD-210590;HD-210591;;;;;;;;;,10
HD161868;;;;;;;;;;,10
HD176638;;;;;;;;;;,10
HD210739;;;;;;;;;;,10
HD2834;;;;;;;;;;,10
HD222661;HD222261;;;;;;;;;,10
HD18692;;;;;;;;;;,10
HD19545;;;;;;;;;;,10
HD6512;;;;;;;;;;,10
