seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
67  ,PNG 002.6+08.1,PN H 1-11                          ,PN ,260.3238596936199 -22.3098659995400,261.0534262936714 +00.8294228075554,002.6219118508797 +08.1904176428404,  -5.400 -3.567 ,0.2138   ,-20         ,         ,         ,         ,         ,16.806362,         ,14.103   ,14.075   ,13.198   ,         ,         ,         ,         ,         ,               ,                           ,0.100 0.100          ,0       ,0        ,0        ,  68,   0
68  ,PNG 002.6-03.4,PN M 1-37                          ,PN ,271.3575387087500 -28.3678562472100,271.1989443879879 -04.9342092800097,002.6809612861000 -03.4684020151213,  -4.779 -6.894 ,0.2371   ,202         ,         ,         ,14.70    ,         ,14.766491,         ,12.865   ,12.709   ,12.060   ,         ,         ,         ,         ,         ,[WC11]?        ,                           ,                     ,0       ,0        ,0        , 121,   0
69  ,PNG 002.7-04.8,PN M 1-42                          ,PN ,272.77079 -28.98308                ,272.43506 -05.56720                ,002.73862 -04.85135                ,                ,         ,-93         ,         ,13.1     ,14.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.17984000 0.17811500,0       ,0        ,0        , 201,   0
70  ,PNG 002.7-52.4,IC 5148                            ,PN ,329.8961938969300 -39.3856202889300,317.7161819727979 -25.3390641177789,002.7114505403165 -52.4396637327554,   6.626 -8.074 ,0.8567   ,-26.2       ,         ,         ,16.5     ,         ,16.065430,         ,         ,         ,         ,         ,         ,         ,         ,         ,O?             ,                           ,2.000 2.000          ,0       ,0        ,0        ,  65,   1
71  ,PNG 002.8+01.7,PN H 2-20                          ,PN ,266.41588 -25.66675                ,266.76739 -02.26766                ,002.79651 +01.69442                ,                ,         ,164.1       ,         ,         ,17.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.06052833 0.05744600,1       ,0        ,0        ,  73,   1
72  ,PNG 002.8+01.8,Terz N 1567                        ,PN ,266.367963 -25.636225              ,266.723419 -02.238229              ,002.800099 +01.747182              ,                ,         ,-32.6       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  20,   0
73  ,PNG 002.8-02.2,PN Pe 2-12                         ,PN ,270.2927772207900 -27.6388167827500,270.2600731968299 -04.1997844515165,002.8556082659705 -02.2916121272308,  -0.540 -2.163 ,0.224    ,            ,         ,         ,14.60    ,         ,14.055472,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.083 0.083          ,0       ,0        ,0        ,  55,   0
74  ,PNG 002.9+06.5,PN PBOZ 6                          ,PN ,261.9737022829600 -22.9551753356400,262.6129227067933 +00.2785381847018,002.9271999877275 +06.5645027818838,  -2.279 -5.098 ,0.1952   ,70          ,         ,         ,         ,         ,15.590405,14.79    ,13.89    ,13.629   ,13.23    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  16,   0
75  ,PNG 002.9-03.9,PN H 2-39                          ,PN ,272.023996 -28.436250              ,271.786545 -05.009504              ,002.905410 -04.014468              ,                ,         ,33          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  41,   0
76  ,PNG 003.0-02.6,PN KFL 4                           ,PN ,270.71529 -27.68322                ,270.63516 -04.24550                ,003.00150 -02.63914                ,                ,         ,17.0        ,         ,         ,         ,         ,         ,         ,13.578   ,12.879   ,12.661   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  26,   0
77  ,PNG 003.1+02.9,PN Hb 4                            ,PN ,265.4700008605499 -24.7023140731100,265.8841854188393 -01.3277151575235,003.1708157095992 +02.9284762198348,  -1.082 -4.547 ,0.1652   ,-61.0       ,         ,18.4     ,17       ,         ,17.519089,         ,         ,         ,         ,         ,         ,         ,         ,         ,[WC4]          ,                           ,0.14320117 0.13745283,0       ,0        ,0        , 212,   1
78  ,PNG 003.1+03.4,PN H 2-17                          ,PN ,265.0309410246600 -24.4284977931800,265.4759735376561 -01.0672026174834,003.1928597312031 +03.4121560838002,  -3.723 -6.127 ,0.083    ,80          ,         ,         ,16.00    ,         ,16.526291,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.05656750 0.05605417,0       ,0        ,0        ,  77,   0
79  ,PNG 003.2-04.4,PN KFL 12                          ,PN ,272.628362 -28.323031              ,272.322045 -04.904917              ,003.260843 -04.426668              ,                ,         ,77          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  29,   0
80  ,PNG 003.2-06.2,PN M 2-36                          ,EB*,274.42262 -29.13886                ,273.88163 -05.75914                ,003.28281 -06.19880                ,                ,         ,64          ,         ,12.8     ,13.40    ,         ,         ,17.012   ,13.139   ,13.283   ,12.329   ,         ,         ,         ,         ,         ,               ,                           ,0.113 0.113          ,0       ,0        ,0        , 131,   0
81  ,PNG 003.3-04.6,EM* AS 283                         ,PN ,272.8962522869383 -28.3768686902431,272.5575980383842 -04.9632816201400,003.3261570438017 -04.6595678195713,  -4.617 -4.522 ,0.1429   ,157         ,         ,11       ,13.70    ,         ,13.1687  ,         ,12.229   ,12.057   ,11.740   ,         ,         ,         ,         ,         ,B0I-III        ,                           ,0.200 0.200          ,0       ,0        ,0        ,  75,   0
82  ,PNG 003.3-07.5,PN KFL 19                          ,PN ,275.787042 -29.723658              ,275.054967 -06.385852              ,003.309527 -07.522953              ,                ,         ,59          ,         ,         ,16.3     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  21,   0
83  ,PNG 003.4-04.8,PN H 2-43                          ,PN ,273.1999430036700 -28.3332615838700,272.8267192535303 -04.9253583054077,003.4920372190791 -04.8740444326394,  -4.030 -4.066 ,0.1263   ,120         ,         ,12       ,14.20    ,         ,13.618714,         ,11.472   ,9.750    ,8.311    ,         ,         ,         ,         ,         ,               ,                           ,0.150 0.150          ,0       ,0        ,0        ,  68,   0
84  ,PNG 003.5-02.4,IC 4673                            ,PN ,270.8269108022100 -27.1063098791200,270.7375985858305 -03.6691304194032,003.5532601352851 -02.4421486392080,   0.044 -2.999 ,0.426    ,-15.3       ,         ,         ,13.50    ,         ,18.019411,         ,         ,         ,         ,         ,         ,         ,         ,         ,O(H)8          ,                           ,0.247 0.247          ,0       ,0        ,0        , 111,   0
85  ,PNG 003.5-04.6,NGC 6565                           ,PN ,272.9686909303700 -28.1784503447900,272.6256763236603 -04.7662075591830,003.5317029403002 -04.6212674854664,  -1.394 -4.453 ,         ,-4.9        ,         ,12.5     ,12.2     ,12.12    ,18.540907,         ,         ,         ,         ,         ,         ,         ,         ,         ,PN             ,                           ,0.05000000 0.16226533,0       ,0        ,0        , 223,   0
86  ,PNG 003.6+03.1,PN M 2-14                          ,PN ,265.4886159566300 -24.1878341874200,265.8849905051583 -00.8129568817314,003.6179625196545 +03.1846114655716,  -7.827 -3.195 ,         ,-48.2       ,         ,         ,14.70    ,15.71    ,17.587624,14.50    ,12.98    ,12.824   ,11.80    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  62,   0
87  ,PNG 003.6-02.3,PN M 2-26                          ,PN ,270.79967 -26.97533                ,270.71403 -03.53802                ,003.65554 -02.35670                ,                ,         ,-52.9       ,         ,         ,16.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.117 0.117          ,0       ,0        ,0        ,  60,   1
88  ,PNG 003.7+07.9,PN H 2-8                           ,PN ,261.190692 -21.559944              ,261.808114 +01.629192              ,003.702232 +07.935888              ,                ,         ,41          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  26,   0
89  ,PNG 003.7-04.6,PN M 2-30                          ,PN ,273.14333 -27.96958                ,272.78471 -04.56067                ,003.78955 -04.65760                ,                ,         ,115         ,         ,13.5     ,14.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.067 0.067          ,0       ,0        ,0        , 103,   0
90  ,PNG 003.8+05.3,PN H 2-15                          ,PN ,263.611738 -22.888808              ,264.116441 +00.420111              ,003.805197 +05.332450              ,                ,         ,-88         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.057 0.057          ,0       ,0        ,0        ,  61,   0
91  ,PNG 003.8-04.3,PN H 1-59                          ,PN ,272.871929 -27.771025              ,272.548276 -04.357129              ,003.850244 -04.352100              ,                ,         ,7.0         ,         ,14.5     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.100 0.100          ,0       ,0        ,0        ,  65,   0
92  ,PNG 003.8-04.5,PN H 2-41                          ,PN ,273.099021 -27.870517              ,272.747598 -04.460773              ,003.858359 -04.576089              ,                ,         ,26.3        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.127 0.127          ,0       ,0        ,0        ,  53,   0
93  ,PNG 003.8-17.1,PN Hb 8                            ,PN ,286.3997438199000 -33.1938922146300,283.9056245392669 -10.5428748238682,003.8946939446651 -17.1952196606660,      -7.1 -3.8 ,         ,180.5       ,         ,14.47    ,13.22    ,15.39    ,14.933834,         ,14.33    ,14.52    ,13.82    ,         ,         ,         ,         ,         ,               ,                           ,0.083 0.083          ,0       ,0        ,0        ,  71,   0
94  ,PNG 003.9+01.6,PN G003.9+01.6                     ,PN ,267.118604 -24.690297              ,267.381573 -01.277187              ,003.961663 +01.656018              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  19,   0
95  ,PNG 003.9-02.3,PN M 1-35                          ,PN ,270.91375 -26.72608                ,270.81748 -03.28938                ,003.92288 -02.32304                ,                ,         ,67.9        ,         ,         ,14.50    ,         ,         ,         ,13.151   ,12.990   ,11.869   ,         ,         ,         ,         ,         ,               ,                           ,0.087 0.087          ,0       ,0        ,0        ,  91,   0
96  ,PNG 003.9-03.1,PN KFL 7                           ,PN ,271.708154 -27.104469              ,271.523653 -03.674207              ,003.938108 -03.125973              ,                ,         ,-91.0       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  23,   0
97  ,PNG 003.9-14.9,PN Hb 7                            ,PN ,283.9075155679900 -32.2634871142700,281.8885872183537 -09.3963725610304,003.9636279227293 -14.9025310469192,  -4.007 -6.904 ,0.198    ,-62.0       ,         ,12.58    ,11.65    ,13.61    ,13.863502,         ,12.72    ,12.82    ,12.23    ,         ,         ,         ,         ,         ,O3             ,                           ,0.067 0.067          ,0       ,0        ,0        ,  91,   0
98  ,PNG 004.0-03.0,PN M 2-29                          ,PN ,271.6704396715000 -26.9156599356500,271.4922110414279 -03.4850154920166,004.0871082379903 -03.0049746323704,  -1.476 -1.283 ,0.053    ,-112.2      ,         ,15.24    ,14.29    ,15.15    ,14.430090,15.905   ,13.90    ,13.49    ,12.32    ,         ,         ,         ,         ,         ,               ,                           ,0.05747500 0.05498583,0       ,0        ,0        , 126,   0
99  ,PNG 004.0-05.8,PN Pe 1-12                         ,PN ,274.426579 -28.287167              ,273.911471 -04.907953              ,004.042522 -05.805679              ,                ,         ,159         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.200 0.200          ,0       ,0        ,0        ,  43,   0
