seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
54  ,PNG 004.5+06.8,NAME Kepler SNR                    ,Rad,262.649900 -21.482286              ,263.159716 +01.782653              ,004.514464 +06.840457              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           , 3.0   3.0           ,0       ,0        ,0        , 749,   4
55  ,PNG 002.2-06.3,PN H 1-63                          ,PN ,274.0806004569000 -30.1266855351500,273.5532086624036 -06.7377058241286,002.2638947593717 -06.3949631576692,  -2.062 -5.998 ,0.4301   ,-36         ,         ,         ,14.00    ,         ,13.431113,         ,13.021   ,12.988   ,12.260   ,         ,         ,         ,         ,         ,O?             ,                           ,                     ,0       ,0        ,0        ,  63,   0
56  ,PNG 002.2-09.4,PN Cn 1-5                          ,PN ,277.2985420820300 -31.4997597801100,276.2832374796173 -08.2195143521148,002.2913391797350 -09.4806337418078,  -2.102 -4.559 ,0.2758   ,-44         ,         ,15.5     ,15.2     ,13.34    ,15.198622,         ,12.200   ,12.267   ,11.382   ,         ,         ,         ,         ,         ,[WC5/6]        ,                           ,0.213 0.196          ,0       ,0        ,0        , 146,   0
57  ,PNG 002.3+02.2,PN G002.3+02.2                     ,PN ,265.62542 -25.75797                ,266.05741 -02.37853                ,002.34602 +02.25373                ,                ,         ,            ,         ,         ,         ,14.50    ,         ,16.68    ,14.38    ,         ,12.65    ,         ,         ,         ,         ,         ,               ,                           , 0.15  0.15          ,0       ,0        ,0        ,  20,   1
58  ,PNG 002.3-03.4,PN H 2-37                          ,PN ,271.120308 -28.626264              ,270.987408 -05.190807              ,002.353134 -03.412208              ,                ,         ,-158        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  50,   0
59  ,PNG 002.3-07.8,PN M 2-41                          ,PN ,275.64375 -30.72528                ,274.89010 -07.38173                ,002.35217 -07.86716                ,                ,         ,-22         ,         ,13.9     ,15.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  40,   0
60  ,PNG 002.4+05.8,NGC 6369                           ,PN ,262.3352360462100 -23.7596588386800,262.9880217822540 -00.5067361622329,002.4320136787827 +05.8468597742724,  -0.239 -0.841 ,0.9184   ,-106.0      ,         ,16.6     ,12.00    ,         ,15.486139,         ,12.452   ,11.873   ,11.475   ,         ,         ,         ,         ,         ,[WC4]          ,                           ,0.58564001 0.58373833,0       ,0        ,0        , 311,   0
61  ,PNG 002.4-03.2,WRAY 17-107                        ,PN ,271.02292 -28.46472                ,270.90273 -05.02863                ,002.45251 -03.25867                ,                ,         ,            ,         ,         ,16.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  18,   0
62  ,PNG 002.4-03.7,PN M 1-38                          ,PN ,271.52392 -28.67500                ,271.34261 -05.24281                ,002.48310 -03.74538                ,                ,         ,-92         ,         ,         ,13.90    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  97,   0
63  ,PNG 002.5-01.7,PN Pe 2-11                         ,PN ,269.63029 -27.61828                ,269.67155 -04.17940                ,002.58189 -01.77190                ,                ,         ,155.0       ,         ,         ,         ,         ,         ,         ,14.189   ,13.197   ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  44,   0
64  ,PNG 002.5-05.4,PN KFL 14                          ,PN ,273.254608 -29.420997              ,272.850212 -06.013895              ,002.552583 -05.430831              ,                ,         ,90          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  21,   0
65  ,PNG 002.6+02.1,Terz N 1580                        ,PN ,265.914342 -25.611808              ,266.313593 -02.224779              ,002.607248 +02.108754              ,                ,         ,237.2       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  25,   0
66  ,PNG 002.6+04.2,PN Th 3-27                         ,PN ,263.993612 -24.424764              ,264.531870 -01.099406              ,002.692257 +04.213754              ,                ,         ,-174        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  40,   0
